;Country;EDemand;GridGenCost;PVCost;GridCapInvCost;DiscountRate;LVCost;MVCost;GridLosses;NatPopDens;Core;Buffer;Admin;Method;Res;PopGrid;PopMG;PopSA;AddedCapGrid;AddedCapSA;AddedCapMG;GridInv;SAInv;MGInv;TotInv;LCOEGrid;LCOESA;LCOEMGWind;LCOEMGPV;LCOEMGHydro;LCOE
0;bj;1.036796234;0.160499566;1.084411467;2400.420114;0.089302857;7857.088247;14539.46192;0.146395887;108;1;200;0;1;100;12503619.19;505120.6009;2663260.248;302894.7262;205916.3641;62088.43238;2058149148;1010630014;284570777.3;3353349939;0.223774784;0.378285995;0;0.369354742;0.226608336;0.292896944
1;bj;0.855708315;0.159986096;0.998783011;2224.110789;0.078283295;5477.280873;16307.89144;0.144228977;108;1;200;0;1;100;12015406.73;847299.0821;2809294.232;237557.8862;180191.7267;86934.60357;1644962792;815359144.9;363208986.7;2823530923;0.204345687;0.331316883;0;0.317929345;0.204464808;0.268527506
2;bj;1.173970385;0.151360598;0.982562459;1628.048564;0.0839503;7049.281127;15283.00398;0.135025914;108;1;200;0;1;100;12468383.76;743744.6862;2459871.592;336706.407;211558.3829;102070.757;1840637296;940164774.2;417471578.9;3198273649;0.202231259;0.332756057;0;0.318953499;0.198187704;0.260292055
3;bj;1.117803529;0.162977915;1.15998969;2136.416539;0.085390275;6191.256682;15058.78352;0.164345356;108;1;200;0;1;100;12842964.9;857462.9666;1971572.172;341090.885;160216.5419;107665.6772;2055323717;839670367.9;508904037.8;3403898123;0.225280019;0.393664965;0;0.370413295;0.200583955;0.290779329
4;bj;0.936219273;0.153156124;1.102220497;2005.729417;0.084573959;5250.70545;15935.56037;0.121376538;108;1;200;0;1;100;12606598.37;811424.3468;2253977.329;266309.5148;156406.544;87295.46316;1755834881;779686912.6;395696638.6;2931218432;0.214993702;0.373695417;0;0.354469861;0.205072519;0.282088532
5;bj;0.78596861;0.179802039;0.776285902;1685.838373;0.092572929;5818.972518;15914.18822;0.123644456;108;1;200;0;1;100;10682170.71;628628.8998;4361200.431;180800.2664;289251.4382;76411.55463;1200066557;1022133665;245173941.1;2467374163;0.19732044;0.279987639;0;0.275858795;0.187168742;0.252720764
6;bj;1.190397697;0.163141601;1.119621158;2339.363234;0.064828045;5197.094881;14995.11512;0.172712155;108;1;200;0;1;100;12686303.13;1403467.838;1582229.078;361587.2692;134901.3537;174950.9056;2060715895;682494058.3;789016199.8;3532226153;0.206105202;0.344195471;0;0.310982731;0.165944761;0.25845482
7;bj;0.991095129;0.148533845;1.192709868;2323.744655;0.082173028;6132.58234;15607.52072;0.116831611;108;1;200;0;1;100;12888438.35;708767.1015;2074794.595;286995.0632;152992.766;79958.29689;2014808412;823883811.8;393678365.8;3232370589;0.220264694;0.397958596;0;0.38018851;0.208331782;0.289442503
8;bj;1.095827911;0.184409663;0.817733583;1634.172407;0.075391269;7133.474727;15686.55422;0.172060007;108;1;200;0;1;100;10614873.52;1757711.553;3299414.97;262713.0245;279689.3917;260498.6071;1368315337;1037167051;864581451.1;3270063839;0.196187839;0.267817011;0;0.255808515;0.174996808;0.242286447
9;bj;1.216348504;0.17716729;0.928054772;1777.609544;0.069880068;7558.060966;15563.50498;0.13582522;108;1;200;0;1;100;11558974.17;1437916.504;2675109.366;318155.9072;236777.6232;209094.7284;1690045760;994255849.1;795278337;3479579946;0.203842634;0.293490297;0;0.27351272;0.182425124;0.251695376
10;bj;0.794318856;0.183649192;0.799491158;1714.387058;0.087117704;6334.487111;15589.55078;0.154901599;108;1;200;0;1;100;10617925.05;664059.224;4390015.767;187637.931;294470.0828;82512.909;1217142932;1071848499;272963722.4;2561955154;0.199734776;0.281489278;0;0.277151488;0.18684786;0.254922903
11;bj;1.077157761;0.136575759;1.049305826;2103.001916;0.073909338;7728.663982;15819.59988;0.131240641;108;1;200;0;1;100;12611301.88;572441.4944;2488256.669;311118.0742;200202.7204;72634.74474;2043788139;949534490.3;323514286.8;3316836916;0.197241152;0.338173557;0;0.32867675;0.200187977;0.258013272
12;bj;1.087870844;0.185147403;1.127667018;2124.081621;0.072943252;7528.778503;15178.65717;0.126474685;108;1;200;0;1;100;12248238.28;980952.1732;2442809.589;302815.8472;191754.2073;123099.5565;1901447396;978153104.7;573994986.4;3453595487;0.231136031;0.361718513;0;0.340836084;0.199329424;0.291676216
13;bj;0.80647397;0.137976483;0.910334077;2347.396972;0.095791246;8003.867403;15012.30307;0.118493113;108;1;200;0;1;100;11893170.49;130005.8309;3648823.721;215441.2378;237295.0234;14946.71221;1691573522;979323091;61565109.8;2732461723;0.197240992;0.330332751;0;0.339384095;0.216948771;0.268370949
14;bj;0.780694517;0.180463947;0.956935937;2454.14107;0.066178912;7363.397131;15504.15143;0.137688279;108;1;200;0;1;100;11146670.74;755353.0672;3769976.233;194978.3273;237513.7949;78646.08911;1500603067;1033098719;321666931;2855368717;0.20923088;0.302141311;0;0.294415145;0.194810742;0.266252915
15;bj;1.23959191;0.170935464;1.249109154;2085.697664;0.076428843;4733.057306;14697.34552;0.136344634;108;1;200;0;1;100;13110530.06;1316149.708;1245320.272;372926.3188;111376.5677;166220.86;2069784819;627762526.2;822392440;3519939785;0.226073262;0.404510899;0;0.363298266;0.177180524;0.284181519
16;bj;1.009262693;0.181726871;0.93350294;1935.472461;0.091014019;4101.318894;14651.24946;0.114054071;108;1;200;0;1;100;11911292.1;1395743.422;2364964.522;266926.4441;173199.1668;161737.3409;1489007539;730650180;603019123.6;2822676843;0.216509639;0.324793266;0;0.30363334;0.185447469;0.269733906
17;bj;0.858784044;0.130095732;0.842729817;2463.513296;0.086866852;7075.638068;14680.42609;0.149255378;108;1;200;0;1;100;11876300.67;249143.5223;3546555.852;237141.6562;243221.0508;28554.88031;1711277510;928878849.4;106435058.5;2746591418;0.178781613;0.293283521;0;0.29512797;0.201416565;0.240142052
18;bj;1.121093454;0.147094463;1.207154471;1725.092559;0.071627748;4585.446237;16062.2471;0.170860947;108;1;200;0;1;100;13048109.38;1210206.595;1413684.062;349436.4965;115655.3069;140945.8537;1910594269;629994198.9;683100959.1;3223689427;0.204317868;0.382317016;0;0.347014161;0.171497268;0.265695722
19;bj;1.064424184;0.176126653;1.031034631;1690.047073;0.093757208;4447.539677;15375.75269;0.161603919;108;1;200;0;1;100;12431222.4;1207169.88;2033607.763;311948.2817;157952.5964;142132.7029;1641489064;735707118.8;585867949.6;2963064133;0.224827556;0.363065363;0;0.338621526;0.191332434;0.284181737
20;bj;1.175074739;0.131844646;1.179268123;2034.973428;0.09615667;5971.458937;14945.63104;0.119044276;108;1;200;0;1;100;13280059.57;657330.3792;1734610.093;352502.617;149883.2635;84684.81712;2179746963;798147634.3;407827320.4;3385721918;0.210752718;0.420208051;0;0.39863506;0.207789943;0.28146269
21;bj;0.818383993;0.197492666;0.773660821;1818.128968;0.098647686;5558.318475;15522.40795;0.140113752;108;1;200;0;1;100;10376562.69;1023795.918;4271641.437;181747.927;293128.2837;131598.4508;1165915590;1032291185;410686994.9;2608893769;0.207174739;0.286498285;0;0.280471829;0.190004167;0.262341839
22;bj;1.149170775;0.135986937;1.118121224;1922.843198;0.08822246;6042.578116;14576.02759;0.1510542;108;1;200;0;1;100;13077502.78;693922.0852;1900575.177;352038.5912;160405.8235;89014.46645;2054545503;810151575.2;409123635.8;3273820714;0.204782848;0.384549009;0;0.365696064;0.196539365;0.270165798
23;bj;0.939614532;0.199328708;0.760071452;1591.140787;0.064051111;4623.963485;15732.4468;0.160082285;108;1;200;0;1;100;9933357.994;2669049.113;3069592.935;196301.0039;220555.1144;352553.4307;1077326031;761451781;1067345584;2906123397;0.199348964;0.235917557;0;0.221398457;0.153040577;0.221537095
24;bj;0.925534696;0.168166704;0.88961886;2321.839547;0.078625918;6883.999304;15082.57701;0.154605527;108;1;200;0;1;100;11578818.13;745018.4757;3348163.441;248426.5536;241528.7797;88210.33894;1644704480;974038895;332022315.9;2950765691;0.202869099;0.296699498;0;0.29112941;0.190393892;0.255917323
25;bj;0.757492022;0.171849831;0.82535057;2440.76336;0.081937375;4842.567909;15124.52026;0.173599297;108;1;200;0;1;100;11020852.04;1046643.659;3604504.343;193875.9604;218722.5679;103215.9159;1361587964;820225340.5;357153304.8;2538966609;0.194558418;0.280678988;0;0.276635002;0.181507778;0.249102831
26;bj;1.082840027;0.187333035;0.801710188;2396.654755;0.06884823;7600.497251;14826.32094;0.167294707;108;1;200;0;1;100;9969952.88;2195271.642;3506775.519;229329.3708;300698.2324;349693.5773;1378159417;1094421807;1129117765;3601698989;0.188109114;0.255009811;0;0.246061246;0.165173065;0.234972794
27;bj;1.018364424;0.164279326;1.099109043;1805.069904;0.08138313;6638.985236;14903.11013;0.144922477;108;1;200;0;1;100;12526006.24;742882.1649;2403111.64;296290.9066;180809.1302;87963.27224;1797798449;898408898.4;401268125.6;3097475473;0.223263291;0.366884407;0;0.351399975;0.206287675;0.285760849
28;bj;0.868290892;0.165881163;0.753799019;2094.436037;0.08263217;7269.407125;16197.08785;0.143339293;108;1;200;0;1;100;10631791.24;458153.1335;4582055.671;203425.3232;339991.4847;65791.22288;1376086574;1165918781;206142958.3;2748148313;0.181836777;0.260266668;0;0.25605323;0.174191632;0.234792013
29;bj;0.82271623;0.133085986;1.139348765;2237.375643;0.077487874;7947.939865;15991.81039;0.118053964;108;1;200;0;1;100;12435828.26;320670.7719;2915501.012;231340.3405;184126.3097;31520.85671;1875231978;950264365.1;157569084.2;2983065428;0.205666412;0.377526383;0;0.375919884;0.239839239;0.284934191
30;bj;1.025533633;0.175407775;1.108344977;1745.840394;0.08845855;6066.79009;14853.36573;0.124768349;108;1;200;0;1;100;12517427.17;858366.0156;2296206.853;291044.6904;172694.5366;100983.027;1729938904;865298792;458523149.1;3053760845;0.233748832;0.382073437;0;0.362954504;0.209860119;0.297854142
31;bj;1.049661615;0.15479834;1.220967917;2065.539735;0.079968917;6276.563952;15955.00872;0.159490667;108;1;200;0;1;100;12929818.69;802393.8699;1939787.487;320443.1146;149711.6252;94305.94239;2048046403;825231452.9;472542052.8;3345819909;0.223962243;0.402624764;0;0.381231013;0.204114316;0.291950634
32;bj;0.829167594;0.15696176;0.905307191;2165.269971;0.083098488;6237.310028;15696.71824;0.157953846;108;1;200;0;1;100;11773246.81;539430.6112;3359322.617;228441.0205;218378.3578;57562.81736;1584644153;896161791.9;222176547.4;2702982492;0.200006613;0.308876372;0;0.305976857;0.196276581;0.259397201
33;bj;0.772387531;0.14575069;1.004592726;2045.880393;0.099570081;4938.039206;15340.16147;0.132176231;108;1;200;0;1;100;12237841.57;520392.5466;2913765.929;216267.2115;172506.8949;47938.79544;1545875933;785549621.8;202900837.6;2534326392;0.207359503;0.368194862;0;0.361358316;0.226318313;0.285274033
34;bj;0.886757265;0.131297903;0.785678774;1898.030594;0.065549871;7325.741569;14800.11894;0.142517992;108;1;200;0;1;100;11502070.41;381391.9958;3788537.632;232810.8053;272152.886;47134.12281;1506532877;970155781.6;162140587.2;2638829246;0.164103528;0.247139861;0;0.247279548;0.161470777;0.212279668
35;bj;1.060551457;0.1691569;0.865545281;2306.037648;0.074856776;4325.699714;16172.6006;0.124035445;108;1;200;0;1;100;11453187.07;1793146.026;2425666.946;269387.5927;184675.616;224825.3796;1584781870;723842210.1;774803033.6;3083427113;0.190765791;0.281719641;0;0.255514616;0.165422621;0.23810026
36;bj;1.006031513;0.137613518;1.065480002;1842.366588;0.068039248;5688.181568;15221.58091;0.174583154;108;1;200;0;1;100;12685018.61;828385.5301;2158595.9;306293.8993;160618.5714;95769.16732;1811763806;772919522.9;424599172.8;3009282501;0.193502146;0.332076281;0;0.314563826;0.179687213;0.250397902
37;bj;0.987473036;0.161858918;1.167488979;1699.669664;0.072103198;4808.929617;16358.54208;0.12093344;108;1;200;0;1;100;12664326.41;1163005.461;1844668.168;281393.3821;132996.9859;125108.9308;1696551899;701232128.1;591874627.7;2989658655;0.215694611;0.370916275;0;0.343805819;0.183853252;0.277794911
38;bj;0.944179278;0.151609161;0.917093335;1732.750415;0.088799318;5887.916891;16213.14695;0.166070918;108;1;200;0;1;100;12036381.23;707251.0631;2928367.745;269730.1386;209459.4472;81191.29724;1611196969;869888203;312342740.6;2793427913;0.197031628;0.319643132;0;0.310453207;0.205786146;0.259430105
39;bj;0.967519961;0.156707914;0.854279684;1607.931177;0.096745351;5715.67286;15198.57734;0.125677996;108;1;200;0;1;100;11928384.26;691177.9374;3052437.842;260695.6663;226058.4448;82779.38903;1498283079;874470111.1;295962001.6;2668715191;0.198940475;0.308884904;0;0.302191314;0.20226102;0.256469206
40;bj;0.844111454;0.193726356;0.7639949;1855.967158;0.085718091;4907.488202;14567.1641;0.168433892;108;1;200;0;1;100;9967291.434;2014777.116;3689931.492;178719.3231;252081.8635;254109.2777;1075343382;875893392.3;777691318.3;2728928092;0.194222436;0.265361305;0;0.258148727;0.176755024;0.244917403
41;bj;0.961095157;0.174434379;0.975260587;2414.638487;0.092326292;4244.240098;15769.8087;0.155486819;108;1;200;0;1;100;12096767.17;1193928.824;2381304.046;271403.6823;167047.569;133180.4297;1700431801;736692218.1;522455130.4;2959579150;0.216865107;0.34230979;0;0.320165705;0.19638321;0.276669949
42;bj;0.895925261;0.133550984;0.918996052;1870.757959;0.097555282;5126.601232;15160.73857;0.133445022;108;1;200;0;1;100;12319970.58;548532.7046;2803496.759;253041.7806;190999.6691;58809.39332;1603170569;795034777.7;227460017.6;2625665364;0.190167294;0.333514797;0;0.325836957;0.213467292;0.257874512
43;bj;0.88110338;0.143202896;1.053448403;2206.421216;0.079725124;4558.974551;15419.69194;0.141257507;108;1;200;0;1;100;12524060.99;860004.8939;2287934.158;254507.6981;149942.0397;86775.59829;1702634285;714525085.9;376968923.7;2794128294;0.200178153;0.349353065;0;0.330657351;0.194985986;0.264664533
44;bj;1.224256098;0.153899856;1.14712156;2058.665874;0.090705428;8072.480186;15839.18239;0.157032015;108;1;200;0;1;100;12934662.02;612120.337;2125217.681;374154.2666;191402.7977;85575.33624;2291903912;991872715.8;407139890.8;3690916518;0.225281487;0.399162059;0;0.384740082;0.220778345;0.292366222
45;bj;1.100932634;0.194623966;0.938377648;2283.654009;0.074480875;8199.804748;16337.23276;0.134160357;108;1;200;0;1;100;11162697.34;1411692.986;3097609.712;273986.7419;258616.7181;194014.9789;1723181398;1098775792;751809061.8;3573766252;0.217653355;0.304757756;0;0.289198953;0.199272092;0.269273288
46;bj;1.043220994;0.157948254;0.878291849;1945.046728;0.073074881;4303.932985;14725.4285;0.129165625;108;1;200;0;1;100;11836041.21;1447137.801;2388821.03;278411.5741;180010.2894;175510.4996;1517281893;714976366.2;621751406.2;2854009665;0.187370744;0.281508411;0;0.259455498;0.164195838;0.233819916
47;bj;0.836505963;0.172999585;0.969060951;1773.31931;0.084935323;6391.535158;16008.92066;0.157430669;108;1;200;0;1;100;11794630.31;636798.635;3240571.093;230865.8079;209908.2444;67234.62481;1521425692;922007078.5;275307077.1;2718739847;0.217402675;0.332810552;0;0.327785483;0.208586637;0.279848295
